Date,Price,Open,High,Low,Vol.,Change %
2020-02-14,17.95,18.45,18.81,17.95,-,-2.7
2020-02-18,19.12,17.96,20.02,17.96,-,6.5
2020-02-19,18.58,19.13,19.13,18.06,-,-2.8
2020-02-20,20.33,18.57,21.89,18.57,-,9.4
2020-02-21,22.46,21.08,23.64,20.7,-,10.4
2020-02-24,29.23,22.46,31.29,22.46,-,30.1
2020-02-25,31.03,29.18,32.48,26.21,-,6.1
2020-02-26,30.38,30.99,32.0,27.6,-,-2.0
2020-02-27,41.0,30.38,41.03,30.38,-,34.9
2020-02-28,43.13,40.91,49.16,40.91,-,5.2
2020-03-02,35.1,39.79,41.32,33.4,-,-18.6
2020-03-03,39.33,35.1,41.83,30.33,-,12.0
2020-03-04,33.54,39.33,39.33,32.5,-,-14.7
2020-03-05,41.4,37.64,44.55,36.05,-,23.4
2020-03-06,43.97,48.47,50.89,43.51,-,6.2
2020-03-09,53.68,44.16,57.29,44.16,-,22.0
2020-03-10,47.43,53.68,54.71,46.47,-,-11.6
2020-03-11,50.7,47.14,53.52,47.14,-,6.8
2020-03-12,67.83,50.72,68.15,50.65,-,33.7
2020-03-13,51.84,67.95,68.66,50.35,-,-23.5
2020-03-16,80.08,51.01,82.47,51.01,-,54.4
2020-03-17,71.55,75.49,79.84,67.44,-,-10.6
2020-03-18,74.22,71.55,84.67,69.06,-,3.7
2020-03-19,69.12,74.08,79.95,65.87,-,-6.8
2020-03-20,63.85,68.44,68.44,54.94,-,-7.6
2020-03-23,58.36,63.85,67.28,57.37,-,-8.6
2020-03-24,56.95,58.42,58.42,49.04,-,-2.4
2020-03-25,60.99,57.24,62.64,57.24,-,7.0
2020-03-26,57.6,60.93,60.93,55.8,-,-5.5
2020-03-27,61.38,57.6,62.52,57.6,-,6.5
2020-03-30,55.04,61.52,61.52,54.78,-,-10.3
2020-03-31,51.29,55.02,55.02,50.16,-,-6.8
2020-04-01,54.29,51.26,55.69,51.1,-,5.8
2020-04-02,48.91,54.04,54.04,48.18,-,-9.9
2020-04-03,44.87,48.69,48.69,44.74,-,-8.2
2020-04-06,42.93,44.87,44.87,40.78,-,-4.3
2020-04-07,44.69,42.92,45.53,42.33,-,4.1
2020-04-08,42.34,44.69,44.88,41.92,-,-5.2
2020-04-09,41.36,42.37,43.5,41.12,-,-2.3
2020-04-13,41.34,41.36,44.72,41.18,-,-0.0
2020-04-14,38.33,41.26,41.26,37.76,-,-7.2
2020-04-15,40.85,38.35,42.22,38.35,-,6.5
2020-04-16,40.36,40.84,42.77,39.26,-,-1.2
2020-04-17,38.37,40.34,40.4,38.16,-,-4.9
2020-04-20,43.85,38.39,43.88,38.36,-,14.2
2020-04-21,45.37,43.93,47.88,43.93,-,3.4
2020-04-22,42.37,45.31,45.31,41.83,-,-6.6
2020-04-23,41.66,40.99,42.21,39.95,-,-1.6
2020-04-24,36.5,41.66,41.66,36.28,-,-12.3
2020-04-27,35.26,36.51,36.51,34.77,-,-3.4
2020-04-28,36.61,35.26,37.41,34.26,-,3.8
2020-04-29,32.85,36.61,36.67,32.82,-,-10.2
2020-04-30,35.28,32.91,38.12,32.91,-,7.4
2020-05-01,37.76,35.28,39.46,35.28,-,7.0
2020-05-04,36.86,37.79,40.13,36.59,-,-2.3
2020-05-05,35.37,36.83,36.86,33.42,-,-4.0
2020-05-06,35.6,35.36,35.82,33.86,-,0.6
2020-05-07,33.58,35.6,35.6,32.87,-,-5.6
2020-05-08,30.64,33.53,33.62,30.47,-,-8.7
2020-05-11,28.82,30.71,31.79,28.52,-,-5.9
2020-05-12,33.3,28.82,33.3,26.91,-,15.5
2020-05-13,36.12,33.3,38.54,31.71,-,8.4
2020-05-14,33.79,36.07,39.83,33.23,-,-6.4
2020-05-15,33.49,34.96,36.45,31.94,-,-0.8
2020-05-18,30.22,33.49,33.49,29.17,-,-9.7
2020-05-19,30.74,29.94,31.05,29.11,-,1.7
2020-05-20,29.12,30.77,30.77,28.52,-,-5.2
2020-05-21,30.73,29.08,31.55,28.58,-,5.5
2020-05-22,29.36,30.73,31.34,29.09,-,-4.4
2020-05-26,29.42,29.11,29.68,28.58,-,0.2
2020-05-27,29.52,29.37,32.81,28.92,-,0.3
2020-05-28,29.68,29.46,30.89,28.9,-,0.5
2020-05-29,27.96,30.33,31.16,27.75,-,-5.8
2020-06-01,28.99,30.46,30.77,28.76,-,3.6
2020-06-02,27.68,28.99,29.85,27.46,-,-4.5
2020-06-03,27.45,27.7,28.13,26.68,-,-0.8
2020-06-04,27.43,27.21,27.93,26.58,-,-0.0
2020-06-05,25.53,27.43,27.43,25.26,-,-6.9
2020-06-08,26.8,25.53,27.37,25.53,-,4.9
2020-06-09,28.7,26.8,28.78,26.65,-,7.0
2020-06-10,29.32,27.19,29.86,27.19,-,2.1
2020-06-11,36.81,32.34,37.8,30.2,-,25.5
2020-06-12,35.49,33.59,40.61,33.19,-,-3.5
2020-06-15,33.67,35.49,39.89,32.58,-,-5.1
2020-06-16,32.69,30.52,34.63,30.52,-,-2.9
2020-06-17,32.91,31.69,33.56,31.69,-,0.6
2020-06-18,31.57,32.91,33.94,31.09,-,-4.0
2020-06-19,32.54,31.61,32.9,29.74,-,3.0
2020-06-22,31.38,32.11,33.4,31.1,-,-3.5
2020-06-23,31.23,31.38,31.5,29.64,-,-0.4
2020-06-24,33.58,31.2,35.5,31.2,-,7.5
2020-06-25,31.81,33.56,36.01,31.51,-,-5.2
2020-06-26,33.81,31.81,35.38,30.9,-,6.2
2020-06-29,32.3,33.85,36.04,32.2,-,-4.4
2020-06-30,30.75,32.29,32.94,30.23,-,-4.8
2020-07-01,29.51,30.82,31.54,29.15,-,-4.0
2020-07-02,28.6,29.5,29.5,24.96,-,-3.0
2020-07-06,30.2,28.61,30.43,28.61,-,5.5
2020-07-07,31.72,30.22,32.1,29.76,-,5.0
2020-07-08,31.05,31.71,32.44,30.53,-,-2.1
2020-07-09,32.68,31.03,34.23,30.83,-,5.2
2020-07-10,32.02,32.57,34.5,31.79,-,-2.0
2020-07-13,37.6,31.34,38.03,31.29,-,17.4
2020-07-14,37.61,37.6,41.17,37.0,-,0.0
2020-07-15,35.84,37.67,38.85,35.3,-,-4.7
2020-07-16,34.42,35.89,38.46,33.18,-,-3.9
2020-07-17,30.77,34.51,34.51,30.17,-,-10.6
2020-07-20,30.91,30.78,31.74,29.71,-,0.4
2020-07-21,30.91,30.94,32.61,29.97,-,0.0
2020-07-22,30.46,30.9,32.57,30.2,-,-1.4
2020-07-23,32.75,30.44,33.38,29.87,-,7.5
2020-07-24,32.61,32.77,35.73,31.45,-,-0.4
2020-07-27,31.55,32.69,33.41,31.16,-,-3.2
2020-07-28,31.83,31.57,33.11,30.92,-,0.8
2020-07-29,30.13,31.86,31.86,30.13,-,-5.3
2020-07-30,30.2,31.07,33.0,30.07,-,0.2
2020-07-31,27.93,28.01,31.24,27.83,-,-7.5
2020-08-03,29.27,27.9,30.35,27.8,-,4.8
2020-08-04,29.12,29.27,30.25,28.26,-,-0.5
2020-08-05,28.5,28.32,29.3,28.02,-,-2.1
2020-08-06,28.53,28.5,29.53,27.94,-,0.1
2020-08-07,29.76,28.48,30.86,28.27,-,4.3
2020-08-10,29.86,29.93,31.77,29.56,-,0.3
2020-08-11,31.87,29.86,32.31,28.79,-,6.7
2020-08-12,30.16,31.91,31.91,29.23,-,-5.3
2020-08-13,29.84,30.16,30.84,28.81,-,-1.0
2020-08-14,29.15,29.83,30.53,28.94,-,-2.3
2020-08-17,27.73,29.12,29.47,27.66,-,-4.8
2020-08-18,26.9,27.69,28.41,26.54,-,-2.9
2020-08-19,28.88,26.9,30.63,26.9,-,7.3
2020-08-20,28.44,28.91,30.21,27.99,-,-1.5
2020-08-21,28.62,28.41,29.5,28.17,-,0.6
2020-08-24,29.83,28.64,31.5,28.12,-,4.2
2020-08-25,29.11,29.81,30.66,29.05,-,-2.4
2020-08-26,32.1,28.91,32.13,28.84,-,10.2
2020-08-27,33.32,32.1,35.09,30.92,-,3.8
2020-08-28,32.8,32.84,35.1,32.45,-,-1.5
2020-08-31,34.55,32.8,35.54,32.8,-,5.3
2020-09-01,34.67,34.4,35.64,32.93,-,0.3
2020-09-02,36.8,34.67,37.25,34.08,-,6.1
2020-09-03,42.09,36.79,44.34,36.63,-,14.3
2020-09-04,41.74,41.71,47.63,39.79,-,-0.8
2020-09-08,41.02,41.74,46.47,39.57,-,-1.7
2020-09-09,38.25,41.13,41.13,36.58,-,-6.7
2020-09-10,37.92,36.74,38.73,36.33,-,-0.8
2020-09-11,35.27,38.11,38.49,34.86,-,-6.9
2020-09-14,33.56,35.32,35.32,33.18,-,-4.8
2020-09-15,33.79,32.92,34.76,32.55,-,0.6
2020-09-16,35.48,33.79,35.85,33.79,-,5.0
2020-09-17,36.27,35.53,38.11,35.51,-,2.2
2020-09-18,36.04,36.29,38.15,35.0,-,-0.6
2020-09-21,36.43,36.03,40.01,36.03,-,1.0
2020-09-22,35.24,36.44,37.27,35.06,-,-3.2
2020-09-23,37.25,35.29,37.82,34.22,-,5.7
2020-09-24,36.99,37.25,38.45,36.7,-,-0.7
2020-09-25,34.93,36.99,37.85,34.56,-,-5.5
